crop,disease,symptoms,control
Wheat,Powdery Mildew,"Disease symptoms:
Powdery mildew can easily be diagnosed by the white, powdery patches that form on the upper surface of leaves and stem.
Greyish white powdery growth appears on the leaf, sheath, stem and floral parts.
Powdery growth later become black lesion and cause drying of leaves and other parts.Survival and spread
Fungus remains in high hills during summers in infected plant debris as dormant mycelium and asci. Primary spread is by the asciospores and secondary spread through airborne conidia.
Favourable conditions
The disease infects plants during periods of high humidity (not necessarily rain) and cool to moderate temperatures (20-21°C).                                                                                                                                                                                                         Survival and spread:
Fungus remains in high hills during summers in infected plant debris as dormant mycelium and asci. Primary spread is by the asciospores and secondary spread through airborne conidia.
Favourable conditions:
The disease infects plants during periods of high humidity (not necessarily rain) and cool to moderate temperatures (20-21°C).",Spray Carbendazim (0.05%) on the crop at an interval of 15 days
Wheat,Loose Smut,"Disease symptoms:
It is a seed borne disease; infection occurs during Loose Smut flowering through wind-borne spores.
The infection remains dormant inside the otherwise healthy looking seed but the plants grown from such seeds bear infected inflorescence.
At this time, infected heads emerge earlier than normal heads. The entire inflorescence is commonly affected and appears as a mass of olive-black spores, initially covered by a thin gray membrane.
Once the membrane ruptures, the head appears powdery.
Survival and spread:
The disease is internally seed borne, where pathogen infects the embryo in the seed.
Primary infection occurs by sowing infected seeds.
Favourable conditions:
Infection is favored by cool, humid conditions during flowering period of the host plant.","1. Grow disease resistant varieties.
2. Soak the seed for 6 hours in Propiconazole 25 E.C. solution and then go for sowing after drying the seed in shade or treat the seeds with Carbendazim (2.5 g/kg seed) or Rexil (1 g/kg seed).
3. As soon as the symptoms of the disease appear, remove the diseased plants and burn them or bury them outside the field.
Note: Treat seeds at the time of sowing."
Wheat,Brown Rust,"Disease symptoms:
The most common site for symptoms is on upper leaf blades, however, sheaths, glumes and awns may occasionally become infected and exhibit symptoms.
The pustules are circular or slightly elliptical, smaller than those of stem rust, usually do not coalesce, and contain masses of orange to orange-brown Urediospores.
Survival and spread:
Pathogen over-summers in low and mid altitudes of Himalayas and Nilgiris. Primary infections develop from wind deposited urediospores in eastern Indo-gangetic plains in middle of January where it multiplies and moves westwards by March Alternate host is Thalictrum sp.
Favourable conditions:
Temperatures of 20-25° C with free moisture (rain or dew) cause epidemics. Severe infection causes upto 30 percent yield losses.","1. Grow disease resistant varieties like H.P.W.- 360, 368, 349, H.S.-562, H.S.-542 etc. After 2-3 years, replace them with new approved disease resistant varieties.
2. As soon as the first symptoms of disease appear in the crop, spray Prapiconazole 25 EC. (0.1%) or Mancozeb 75 W.P. (0.2%) at an interval of 15 days."
Wheat,Stripe Rust / Yellow Rust,"Disease symptoms:
Mainly occur on leaves than the leaf sheaths and stem. Bright yellow pustules (Uredia) appear on leaves at early stage of crop and pustules are arranged in linear rows as stripes.
The stripes are yellow to orange yellow. The teliospores are also arranged in long stripes and are dull black in colour.
The pustules of stripe rust, which, contain yellow to orange-yellow urediospores, usually form narrow stripes on the leaves.
Pustules also can be found on leaf sheaths, necks, and glumes.
Survival and spread:
The inoculum survives in the form of uredospores /teliospores in the northern hills during off season on self sown crop or volunteer hosts, which provide an excellent source of inoculums and primary spread occur through uredospores from hills
Favourable conditions:
Disease is prominent when temperature is 10-20°C and high humidity.","1. Grow disease resistant varieties like H.P.W.- 360, 368, 349, H.S.-562, H.S.-542 etc. After 2-3 years, replace them with new approved disease resistant varieties.
2. As soon as the first symptoms of disease appear in the crop, spray Prapiconazole 25 EC. (0.1%) or Mancozeb 75 W.P. (0.2%) at an interval of 15 days."
Wheat,Black Rust,"Disease symptoms:
Symptoms are produced on almost all aerial parts of the wheat plant but are most common on stem, leaf sheaths and upper and lower leaf surfaces.
Pustules (containing masses of urediospores) are dark reddish brown - occur on both sides of the leaves, on the stems, and on the spikes.
Pustules are usually separate and scattered, heavy infections -coalesce.
Prior to pustule formation, ""flecks"" may appear. Before the spore masses break through the epidermis, the infection sites feel rough to the touch.
As the spore masses break through, the surface tissues take on a ragged and torn appearance.
Survival and spread:
Both survive on stubbles and volunteer crops, alternate host: Berberis spp. and primary spread occur through uredospores from southern hills
Favourable conditions:
Moisture and temperature above 20° C favours the development of disease.","1. Grow disease resistant varieties like H.P.W.- 360, 368, 349, H.S.-562, H.S.-542 etc. After 2-3 years, replace them with new approved disease resistant varieties.
2. As soon as the first symptoms of disease appear in the crop, spray Prapiconazole 25 EC. (0.1%) or Mancozeb 75 W.P. (0.2%) at an interval of 15 days. and grow recommended crop variety"
Wheat,Flag Smut,"Disease symptoms:
Symptoms can be seen on stem, clum and leaves from late seedling stage to maturity.
The seedling infection leads to twisting and drooping of leaves followed by withering.
Grey to grayish black sori occurs on leaf blade and sheath. The sorus contains black powdery mass of spores.
Survival and spread:
The disease is seed and soil borne. Smut spores are viable for more than 10 years.
Primary infection occurs by sowing infected seeds or by resting spores present in the soil.
Favourable conditions:
Temperature of 18-24°C.
Relative humidity 65% and above.","1. Treat the seeds with Carbendazim (2.5 g/kg seed).
2. Do not delay sowing.
3. Irrigate the field immediately after sowing where the disease is prevalent.
4. Remove diseased plants and burn them."
Wheat,Hill Bunt (Stinking Smut),"Disease symptoms:
The fungus attacks seedling of 8-10 days old and become systemic and grows along the tip of shoot.
At the time of flowering hyphae concentrate in the inflorescence and spikelets and transforming the ovary into smut sorus of dark green color with masses of chlamydospores.
The diseased plants mature earlier and all the spikelets are affected.
Survival and spread:
The pathogen survives in seeds and sowing such seeds are source of primary infection.
Favourable conditions:
Temperature of 18-20°C.
High soil moisture.",Treat the seeds with Carbendazim ( 2.5g / k * g seed).
Wheat,Karnal Bunt,"Disease symptoms:
Symptoms of Karnal bunt are often difficult to distinguish in the field due to the fact that incidence of infected kernels on a given head is low.
There may be some spreading of the glumes due to sorus production but it is not as extensive as that observed with common bunt.
Symptoms are most readily detected on seed after harvest.
Survival and spread:
The disease is seeds borne and sowing of infected seeds is the source of primary infection.
Fabourable conditions:
Temperature of 18-20°C.
High soil moisture.","1. Grow recommended varieties.
2. Treat the seeds with Carbendazim (2.5 g/kg seed).
3. First spray of Propiconazole 25 E.C. (0.1%) on flag leaf stage of crop is recommended and second spray when 50% of the ear buds emerge from the plants (10-12 days after the first spray). Spray Propiconazole only for seed crops.
Note: It has been observed that fungicide chemicals do not have residual toxicity as compared to pesticide chemicals. If the crop fails for seed, that may be consumed by the farmer as food."
Wheat,Leaf Blight,"Disease symptoms:
Reddish brown oval spots appear on young seedlings with bright yellow margin. In severe cases, several spots coalesce to cause drying of leaves.
It is a complex disease, having association of A. triticina, B. sorokiniana and A. alternate.
Survival and spread:
Primary spread is by externally seed-borne and soil borne conidia. Secondary spread by air-borne conidia.
Favourable conditions:
Temperature of 25°C and high relative humidity.","Seed Treatment: Treat seeds with Carbendazim (2.5 g/kg seed) to prevent primary infection.
Cultural Practices:
Crop Rotation: Avoid planting wheat in the same field for at least two years.
Residue Management: Deeply plow or burn infested crop debris to remove inoculum.
Field Hygiene: Remove weeds and collateral hosts.
Balanced Fertilizer: Avoid excessive nitrogen application, which can increase susceptibility.
Chemical Control (Fungicides):
First Spray: Apply Propiconazole 25 E.C. (0.1% or 500 ml/ha) at the flag leaf stage.
Second Spray: Apply 10-12 days later, particularly when 50% of ear buds emerge.
Alternative: For bacterial blight, use Streptocyclin (250 ppm) in combination with copper fungicides. "
Wheat, Fusarium Leaf Blotch,"Disease symptoms:
The blotching caused by this organism becomes evident on leaves at about late-joint to early-boot growth stage.
Young lesions occur as oval to elliptical, greyish green mottled areas, usually located where the leaf bends. The lesions enlarge rapidly, developing into large, ""eyespot"" blotches with bleached or light grey centers; the leaves tend to split or shred, beginning at the centers of the lesions.                                                                                                              Survival and spread:
The disease is soil borne and inoculums of fungi survive in soil. Spores are produced on crop debris left on or near the soil surface. These spores are transmitted to leaves by the wind or by splashing rain.
Favourable conditions:
Disease development is favored by cool, moist weather.","iming: Apply fungicides when \(50\%\) of the crop is flowering (anthesis), as this is the most critical time for infection.Recommended Chemicals: Triazole fungicides such as tebuconazole or prothioconazole are effective.Application Method: Use higher water volumes and coarse droplets to ensure the fungicide coats the wheat head thoroughly."
